Gene	SecondarySource	PrimarySource
KCNB1	DGI_druggable	RussLampel HopkinsGroom
SLC7A1	DGI_druggable;DrugBank	RussLampel;
TNFRSF13B	DGI_membrane;Curated dataset based on clinical trial drug-target interactions	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
HNRNPUL2	DGI_druggable	HopkinsGroom
HNRNPUL1	DGI_druggable	HopkinsGroom
POMK	KinasesWitteLab	
CSNK1A1L	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
FABP3	DrugBank	
SLC25A34	DGI_druggable	RussLampel
PAPPA2	DGI_druggable	dGene RussLampel
SLC25A37	DGI_druggable	RussLampel
MET	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Amplification may cause resistance to anti-EGFR TKIs.  Amplification may predict sensitivity to MET-inhibitors;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PCCA	DrugBank	
SLC25A36	DGI_druggable	RussLampel
WWOX	DGI_druggable	RussLampel HopkinsGroom
PGRMC1	DGI_membrane;Curated dataset based on clinical trial drug-target interactions	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
BCHE	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
NAT1	DrugBank	
SLC16A3	DGI_druggable;DrugBank	RussLampel;
GLP2R	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
QSOX2	DGI_druggable	HopkinsGroom
GABRA2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OXNAD1	DGI_druggable	RussLampel HopkinsGroom
DESI2	DGI_druggable	dGene
SLC25A33	DGI_druggable	RussLampel
NDUFA3	DrugBank	
DESI1	DGI_druggable	dGene
ARL1	DrugBank	
CLPP	DGI_druggable;DrugBank	dGene;
ARL3	DrugBank	
SLC25A32	DGI_druggable;DrugBank	RussLampel;
GPM6A	DGI_membrane	GO
PTCH1	Rahul	Mutations may predict sensitivity to hedgehog inhibitors
RIPK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
LATS2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
RIPK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
RIPK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
CNTNAP5	DGI_druggable	HopkinsGroom
RIPK4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
RRM1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
DUSP9	DGI_druggable	dGene RussLampel HopkinsGroom
TRPA1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
LEPRE1	DrugBank	
GALM	DrugBank	
PAPSS1	DrugBank	
TXN	DGI_druggable;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
GCLM	DrugBank	
TXK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
OR8I2	DGI_druggable	dGene RussLampel HopkinsGroom
CRABP2	DrugBank	
CDKN3	DGI_druggable	dGene HopkinsGroom
SLC25A39	DGI_druggable	RussLampel
GRID2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
WARS2	DGI_druggable;DrugBank	HopkinsGroom;
PLCXD2	DGI_druggable	RussLampel
ADRBK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
DUSP8	DGI_druggable	dGene RussLampel HopkinsGroom
OR8B12	DGI_druggable	dGene RussLampel HopkinsGroom
NAT2	DrugBank	
TF	DrugBank	
TG	DGI_druggable	RussLampel HopkinsGroom
CYP24A1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
DAPK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
DAPK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
DAPK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
CYP2C18	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ULK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
ULK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
NR3C1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ULK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PIM2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PIM3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ULK4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
PIM1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
USP27X	DGI_druggable	dGene
TXNL1	DGI_druggable	RussLampel HopkinsGroom
GGT2	DGI_druggable;DGI_membrane	dGene;GO
TMX4	DGI_druggable	RussLampel HopkinsGroom
AR	DGI_druggable;Rahul;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;Amplification may predict resistance to androgen deprivation in prostate cancer and may predict sensitivity to second generation androgen deprivation or direct androgen inhibitors;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
GGT6	DGI_druggable;DGI_membrane	dGene;GO
GGT7	DGI_druggable;DGI_membrane	dGene;GO
MCOLN3	DGI_druggable	RussLampel
GGT5	DGI_druggable;DGI_membrane	dGene;GO
OR5AC1	DGI_druggable	dGene
CYP20A1	DGI_druggable	RussLampel HopkinsGroom
HM13	DGI_druggable;DGI_membrane	dGene;GO
PTPRU	DGI_druggable	dGene RussLampel HopkinsGroom
PTPRT	DGI_druggable;DGI_membrane	dGene RussLampel HopkinsGroom;GO
PTPRS	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;
PTPRR	DGI_druggable;DGI_membrane	dGene RussLampel HopkinsGroom;GO
PTPRQ	DGI_druggable	dGene RussLampel HopkinsGroom
DHRS9	DGI_druggable	RussLampel HopkinsGroom
OR56B4	DGI_druggable	dGene RussLampel
PDE6B	DGI_druggable	RussLampel HopkinsGroom
OR56B1	DGI_druggable	dGene RussLampel HopkinsGroom
PTPRG	DGI_druggable	dGene RussLampel HopkinsGroom
PTPRF	DGI_druggable	dGene RussLampel HopkinsGroom
PTPRE	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
PTPRD	DGI_druggable	dGene RussLampel HopkinsGroom
PTPRC	DGI_druggable;DGI_membrane;Computationally obtained list of cell surface genes	dGene RussLampel HopkinsGroom;GO;Publication_da_Cunha_etal_PMID_19805368
PTPRB	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
PTPRA	DGI_druggable	dGene RussLampel HopkinsGroom
TUBA1B	DGI_druggable;DrugBank	HopkinsGroom;
PTPRO	DGI_druggable	dGene RussLampel HopkinsGroom
PTPRN	DGI_druggable	dGene RussLampel HopkinsGroom
OR2B2	DGI_druggable	dGene RussLampel HopkinsGroom
OR2B3	DGI_druggable	dGene RussLampel HopkinsGroom
PTPRK	DGI_druggable;DGI_membrane	dGene RussLampel HopkinsGroom;GO
PTPRJ	DGI_druggable;DGI_membrane;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;
OR2B6	DGI_druggable	dGene RussLampel HopkinsGroom
PTPRH	DGI_druggable	dGene RussLampel HopkinsGroom
SLC6A3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
STK19	DGI_druggable	dGene
CPM	DGI_druggable	dGene RussLampel HopkinsGroom
CPO	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
LTB4R2	DGI_druggable	dGene RussLampel HopkinsGroom
STK10	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
STK11	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab	;dGene RussLampel HopkinsGroom;Biallelic inactivation may predict sensitivity to MTOR inhibitors.  Biallelic inactiavtion may predict sensitivity to SRC inhibitors, FAK inhibitors, or phenformin.;
STK16	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
CPE	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
VDAC3	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
BMP2	DGI_membrane	GO
OR13H1	DGI_druggable	dGene RussLampel HopkinsGroom
FKBP5	DGI_druggable	RussLampel HopkinsGroom
CPZ	DGI_druggable	dGene RussLampel HopkinsGroom
OR2L5	DGI_druggable	dGene
OR2L2	DGI_druggable	dGene RussLampel HopkinsGroom
OR2L3	DGI_druggable	dGene RussLampel HopkinsGroom
FKBP2	DGI_druggable	RussLampel HopkinsGroom
FKBP3	DGI_druggable	RussLampel HopkinsGroom
CPQ	DGI_druggable	dGene
THBS1	DGI_membrane	GO
FKBP8	DGI_druggable	RussLampel HopkinsGroom
FKBP9	DGI_druggable	RussLampel HopkinsGroom
OR2L8	DGI_druggable	dGene RussLampel HopkinsGroom
SLC6A6	DGI_druggable	RussLampel HopkinsGroom
NDUFAB1	DrugBank	
SLC5A12	DGI_druggable	RussLampel
SGPL1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
NAPSA	DGI_druggable	dGene RussLampel HopkinsGroom
NDUFB9	DrugBank	
DARS2	DrugBank	
CYP46A1	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PVRL3	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
ATPIF1	DGI_membrane	GO
CKM	DrugBank	
CD68	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
RTN4R	DGI_membrane	GO
OR5AK2	DGI_druggable	dGene RussLampel HopkinsGroom
DMPK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
IRAK2	KinasesCuratedByOlenaSofie;DGI_druggable;DGI_membrane;KinasesWitteLab	;dGene RussLampel;GO;
OR7D2	DGI_druggable	dGene RussLampel HopkinsGroom
SV2C	DGI_druggable	RussLampel
IRAK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
SLC6A9	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
IRAK4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel;;
OR7D4	DGI_druggable	dGene RussLampel HopkinsGroom
OR5J2	DGI_druggable	dGene RussLampel HopkinsGroom
NDUFB4	DrugBank	
MAN2C1	DGI_druggable	RussLampel HopkinsGroom
NR5A1	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
PDE6A	DGI_druggable	RussLampel HopkinsGroom
AHCYL2	DGI_druggable	RussLampel HopkinsGroom
GPR151	DGI_druggable	dGene RussLampel HopkinsGroom
AGER	TherapeuticTargetsDatabase	
APRT	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
F3	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
CAT	DrugBank	
NDUFV2	DrugBank	
SLC17A8	DGI_druggable	RussLampel
GYPB	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
CD37	Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
ALK	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	;dGene RussLampel HopkinsGroom;Translocations predict sensitivity to ALK-inhibitors such as crizotinib.  Secondary mutations can cause resistance.  Amplification and activating mutations may also be sensitive to these agents.;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
SNAP25	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ADCYAP1	DrugBank	
MYD88	Rahul	Mutations may predict sensitivity to BTK inhibitors in Waldenstrom macroglobulinemia. Mutation may be diagnostic for Waldenstrom macroglobulinemia.
LMTK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
LMTK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
CCND1	Rahul;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Amplification may predict resistance to hormone therapy in breast cancer. Amplification may be prognostic in breast cancer.  Amplification may predict sensitivity to CDK4/6 inhibitors. Translocations are diagnostic/prognostic in some hematologic cancers.;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CCND3	Rahul	Amplification may predict sensitivity to CDK4/6 inhibitors.
IL2RG	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PELO	DGI_druggable	RussLampel
SLC17A5	DGI_druggable	RussLampel
LAT	DrugBank	
SLC17A6	DGI_druggable	RussLampel
HHIP	DGI_membrane	GO
GPR17	DGI_druggable	dGene RussLampel HopkinsGroom
HSD17B13	DGI_druggable	RussLampel HopkinsGroom
GPR15	DGI_druggable	dGene RussLampel HopkinsGroom
HSD17B11	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
SLCO5A1	DGI_druggable	RussLampel
GPR12	DGI_druggable	dGene RussLampel HopkinsGroom
ACVR1C	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
ACVR1B	KinasesCuratedByOlenaSofie;DGI_druggable;DGI_membrane;KinasesWitteLab;DrugBank	;dGene RussLampel;GO;;
ALB	DrugBank;TherapeuticTargetsDatabase	;
TNFSF18	DGI_membrane	GO
GPR19	DGI_druggable	dGene RussLampel HopkinsGroom
GPR18	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
PAH	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
RC3H2	DGI_membrane	GO
NDUFA8	DrugBank	
UROD	DrugBank	
GABBR1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GABBR2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC17A3	DGI_druggable	RussLampel
SERPINE1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SERPINE2	DGI_druggable;DGI_membrane	dGene RussLampel HopkinsGroom;GO
SERPINE3	DGI_druggable	dGene HopkinsGroom
TNNT1	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ABCA6	DGI_druggable	RussLampel
TXNDC2	DGI_druggable	RussLampel HopkinsGroom
IDO1	DrugBank;TherapeuticTargetsDatabase	;
CAV2	DGI_membrane	GO
KCNMA1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
GPR34	DGI_druggable	dGene RussLampel HopkinsGroom
DDAH1	DrugBank	
BPIFC	DGI_druggable	RussLampel HopkinsGroom
NAALADL1	DGI_druggable	dGene
C4B	DGI_druggable;DrugBank	dGene;
HTR3B	DGI_druggable;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
F5	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
HTR3C	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GGTLC1	DGI_druggable;DGI_membrane	dGene;GO
DCN	DrugBank	
GGTLC2	DGI_druggable;DGI_membrane	dGene;GO
PADI1	DrugBank	
PDLIM2	DGI_membrane	GO
PECAM1	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
MC3R	DGI_druggable	dGene RussLampel HopkinsGroom
BRCC3	DGI_druggable	dGene
OR14C36	DGI_druggable	dGene RussLampel HopkinsGroom
GSTM4	DrugBank	
IRGC	DrugBank	
CARTPT	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GDI2	DGI_membrane	GO
DHRS1	DGI_druggable	RussLampel HopkinsGroom
ASIC2	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ARL5A	DrugBank	
MCCC2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CD74	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
IL6	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PLXNC1	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
TNK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
TNK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
DSTN	DrugBank	
COL22A1	DGI_druggable	RussLampel
GABRQ	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GABRP	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GPX1	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
SLC22A5	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC22A6	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel;;
SLC22A7	DGI_druggable;DrugBank	RussLampel;
GPX5	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ANPEP	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;Computationally obtained list of cell surface genes	dGene RussLampel;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;Publication_da_Cunha_etal_PMID_19805368
GPX7	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
GPX6	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
GABRE	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GPX8	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PDE6H	DrugBank	
CCBL2	DrugBank	
SLC22A8	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC22A9	DGI_druggable	RussLampel
S100A1	DrugBank	
CYP2J2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
DNMT1	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CAPNS1	DrugBank	
KLHL20	DGI_membrane	GO
IKBKG	DrugBank	
ACTA1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CACNA1D	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GABRR2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GABRR3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SMS	DrugBank	
SMO	DGI_druggable;Rahul;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene;Mutations may predict sensitivity to hedgehog inhibitors;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
LTB4R	DGI_druggable;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;
XIAP	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CD7	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
SLC4A1	DGI_druggable	RussLampel
TRIM58	DGI_druggable	HopkinsGroom
TAF15	DGI_druggable	RussLampel HopkinsGroom
SLC4A2	DGI_druggable	RussLampel
HTR6	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CLCA1	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC4A9	DGI_druggable	RussLampel HopkinsGroom
SLC4A8	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CLCA4	DGI_druggable	RussLampel
CDC7	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
NDUFV3	DrugBank	
CLEC5A	DGI_membrane	GO
NDUFV1	DrugBank	
FGF4	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ASPA	DrugBank	
CRYZL1	DGI_druggable	RussLampel HopkinsGroom
DKK1	TherapeuticTargetsDatabase	
ASPH	DrugBank	
CYP39A1	DGI_druggable	RussLampel HopkinsGroom
FGF2	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
WFDC10B	DGI_druggable	dGene
OR4L1	DGI_druggable	dGene RussLampel HopkinsGroom
WFDC10A	DGI_druggable	dGene
TFPI	DGI_druggable;DrugBank	dGene;
GGH	DGI_druggable;DrugBank	dGene;
IL17D	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ETV1	Rahul	Diagnostic in prostate cancer
GLT6D1	DrugBank	
IL17A	DGI_membrane;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
IL17B	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
IL17C	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR1A2	DGI_druggable	dGene RussLampel HopkinsGroom
VCAM1	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
EHHADH	DrugBank	
RXRG	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PLCL2	DGI_druggable	RussLampel HopkinsGroom
RXRA	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
RXRB	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PLCL1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
OPRM1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TUBAL3	DGI_druggable	RussLampel HopkinsGroom
ALDH9A1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
SLC43A2	DGI_druggable	RussLampel
OR14A16	DGI_druggable	dGene RussLampel HopkinsGroom
CD99	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
PNMT	DrugBank	
MVK	DrugBank	
ASRGL1	DrugBank	
SLC25A45	DGI_druggable	RussLampel
GPR153	DGI_druggable	dGene RussLampel HopkinsGroom
GPR152	DGI_druggable	dGene RussLampel HopkinsGroom
